Di;16:45;74;Rodeo;7.4
Di;19:45;92;Nokia Mobile - We Were Connecting People;7.0
Di;22:15;93;Fuck Off 2 - Bilder aus Finnland;6.2
Di;22:45;79;Kurze nordische Doks;6.2
Mi;10:15;92;Ahto. Chasing a Dream;9.0
Mi;10:45;86;Dienst nach Vorschrift+Widrige Umstände;6.5
Mi;10:45;92;Nokia Mobile - We Were Connecting People;7.0
Mi;13:45;71;Die Nacht, als uns Papa abholte+Bekenntnisse einer wütenden Mutter;7
Mi;16:45;85;14 Fälle;6.4
Mi;19:45;90;Herzensland - Eine etwas andere Liebesgeschichte;7.6
Mi;20:00;74;Rodeo;7.4
Mi;22:15;102;Wurzeln;7.6
Mi;22:15;98;Das Floß;7.4
Mi;22:45;85;Estnische Geschichten. Kerro 40+690 Vopnafjörður;6
Do;10:15;85;Estnische Geschichten. Kerro 40+690 Vopnafjörður;6
Do;10:45;85;14 Fälle;6.4
Do;10:45;75;The Raven and the Seagull;7.1
Do;13:45;98;Das Floß;7.4
Do;13:45;83;Räubertochter;7.6
Do;16:45;102;Wurzeln;7.6
Do;16:45;97;Fortsetzung folgt;8.1
Do;19:45;110;Per Fugelli - Ich sterbe;7.4
Do;20:00;87;Unruhige Grenze;6
Do;22:45;86;Dienst nach Vorschrift+Widrige Umstände;6.5
Do;22:45;92;Ahto. Chasing a Dream;9.0
Fr;10:45;74;Die Augen des Krieges 1918+Der Schneeball rollte gen Süden;6.4
Fr;10:45;89;Iceland Defense Force - Vorposten des Kalten Kriegs;6
Fr;13:45;80;Brücken der Zeit;6
Fr;13:45;87;Unruhige Grenze;6
Fr;16:45;68;Die das Licht brachten+Der Fluss, meine Freundin;6
Fr;19:45;93;Fuck Off 2 - Bilder aus Finnland;6.2
Fr;20:00;83;Räubertochter;7.6
Fr;22:45;71;Die Nacht, als uns Papa abholte+Bekenntnisse einer wütenden Mutter;7
Fr;22:45;71;Das Meer - Liebe an Bord+Der letzte Hummerfischer;6
Sa;10:45;110;Per Fugelli - Ich sterbe;7.4
Sa;10:45;80;Brücken der Zeit;6
Sa;12:30;89;Iceland Defense Force - Vorposten des Kalten Kriegs;6
Sa;13:45;97;Fortsetzung folgt;8.1
Sa;15:00;71;Das Meer - Liebe an Bord+Der letzte Hummerfischer;6
Sa;16:45;72;Maj Doris;8.1
Sa;16:45;90;Herzensland - Eine etwas andere Liebesgeschichte;7.6
Sa;19:45;98;Das Floß;7.4
So;10:15;74;Die Augen des Krieges 1918+Der Schneeball rollte gen Süden;6.4
So;10:45;68;Die das Licht brachten+Der Fluss, meine Freundin;6
So;12:30;79;Kurze nordische Doks;6.2
So;13:45;75;The Raven and the Seagull;7.1
So;15:00;85;Estnische Geschichten. Kerro 40+690 Vopnafjörður;6
So;16:45;102;Wurzeln;7.6
So;17:30;92;Ahto. Chasing a Dream;9.0
So;19:45;72;Maj Doris;8.1
