Di;16:15;84;Gooseboy;6.3
Di;22:00;45;Der innere Zirkel;6.5
Mi;9:00;89;Diva of Finland;6.7
Mi;9:15;57;Heim ins Traumland;5
Mi;10:00;105;Die Spionin;6.7
Mi;10:15;45;Der innere Zirkel;6.5
Mi;10:45;65;Wehen;7
Mi;13:00;110;Ausnahme;7
Mi;19:30;30;Waterstories 360°;7
Do;10:15;84;Gooseboy;6.3
Do;13:00;105;Die Spionin;6.7
Do;13:15;89;Diva of Finland;6.7
Do;16:15;76;Bilderinnerungen (Kurzfilme);7
Do;16:30;110;Ausnahme;7
Do;16:45;10;Ribadit;7
Do;19:15;89;Auf einmal war es Liebe;7
Do;20:00;30;Waterstories 360°;7
Do;22:45;65;Wehen;7
Fr;16:45;80;Der glücklichste Mann der Welt;7.4
Fr;19:30;105;Die Spionin;6.7
Fr;22:45;10;Ribadit;7
Sa;10:45;57;Heim ins Traumland;5
Sa;17:30;80;Der glücklichste Mann der Welt;7.4
Sa;19:00;110;Ausnahme;7
Sa;19:15;90;Weihnachten im Schnee;7
Sa;20:00;30;Waterstories 360°;7
Sa;22:30;105;Die Spionin;6.7
So;10:30;110;Ausnahme;7
So;12:30;57;Heim ins Traumland;5
So;13:15;84;Katzenjammer Kauderwelsch;7
So;16:00;105;Die Spionin;6.7
So;16:15;80;Born for Korn;7
So;19:15;89;Diva of Finland;6.7
